timestamp;numberOfPackets;packetsTotalSize;packetsMean
920898000;268;55749;208.01865671641792
920898060;573;190379;332.2495636998255
920898120;185;35880;193.94594594594594
920898180;202;69494;344.029702970297
920898240;1204;293520;243.78737541528238
920898300;692;178582;258.0664739884393
920898360;352;94272;267.8181818181818
920898420;144;26705;185.45138888888889
920898480;212;101959;480.938679245283
920898540;164;62129;378.8353658536585
920898600;206;40746;197.79611650485438
920898660;389;114691;294.83547557840615
920898720;80;24462;305.775
920898780;144;40868;283.80555555555554
920898840;340;40898;120.28823529411764
920898900;107;27248;254.65420560747663
920898960;956;219016;229.09623430962344
920899020;1648;459768;278.9854368932039
920899080;259;70647;272.7683397683398
920899140;981;308880;314.86238532110093
920899200;439;98074;223.4031890660592
920899260;5095;810591;159.0953876349362
920899320;13196;2154663;163.2815247044559
920899380;8678;1446117;166.641737727587
920899440;6969;1362559;195.5171473669106
920899500;847;197685;233.3943329397875
920899560;426;251775;591.0211267605633
920899620;115;14472;125.84347826086956
920899680;571;58243;102.00175131348512
920899740;597;67939;113.80067001675042
920899800;408;115648;283.45098039215685
920899860;645;136406;211.48217054263566
920899920;151;16963;112.33774834437087
920899980;392;65348;166.70408163265307
920900040;829;153008;184.56936067551266
920900100;545;81009;148.64036697247707
920900160;359;33268;92.66852367688023
920900220;2620;385993;147.32557251908398
920900280;8007;1169515;146.0615711252654
920900340;6353;1173296;184.68377144656068
920900400;5279;774466;146.7069520742565
920900460;5066;747058;147.46506119226214
920900520;4779;699964;146.4666248169073
920900580;3458;509159;147.2408906882591
920900640;3837;589899;153.73964034401877
920900700;3531;601048;170.220334182951
920900760;3875;661276;170.65187096774193
920900820;2542;364666;143.45633359559403
920900880;3446;454100;131.77597214161347
920900940;2442;368629;150.95372645372646
920901000;2679;755670;282.0716685330347
920901060;2537;391442;154.29325975561687
920901120;4191;736217;175.66618945359102
920901180;3169;431150;136.05238245503313
920901240;3260;496468;152.29079754601227
920901300;3377;479644;142.03257328990227
920901360;4187;711733;169.9863864342011
920901420;3703;450573;121.67782878746962
920901480;3533;672781;190.42768185677895
920901540;3510;750082;213.6985754985755
920901600;3054;559044;183.05304518664047
920901660;2822;470081;166.5772501771793
920901720;2473;408142;165.03922361504246
920901780;2654;367694;138.54333082140167
920901840;3256;538723;165.45546683046683
920901900;3504;631350;180.17979452054794
920901960;6297;2489279;395.31189455296175
920902020;3331;602563;180.89552686880816
920902080;3123;478962;153.36599423631125
920902140;3237;492829;152.24868705591598
920902200;4111;750636;182.59207005594746
920902260;5093;3003773;589.7846063224033
920902320;3094;582798;188.3639301874596
920902380;4493;627320;139.6216336523481
920902440;3343;581292;173.88333831887527
920902500;2911;384908;132.22535211267606
920902560;1952;294376;150.80737704918033
920902620;4418;656306;148.5527387958352
920902680;4617;798820;173.0171106779294
920902740;2861;649248;226.93044390073402
920902800;3372;515028;152.73665480427047
920902860;3491;444395;127.29733600687481
920902920;3313;769065;232.135526712949
920902980;4638;836589;180.3771021992238
920903040;3218;694132;215.70292106898694
920903100;3772;746223;197.83218451749735
920903160;2884;690840;239.54230235783635
920903220;4780;1166688;244.07698744769874
920903280;4206;698057;165.96695197337138
920903340;3359;804541;239.51801131289074
920903400;2509;435357;173.5181347150259
920903460;2584;344912;133.4798761609907
920903520;3760;775911;206.3593085106383
920903580;3960;687925;173.71843434343435
920903640;3895;862274;221.37971758664955
920903700;3576;941540;263.29418344519013
920903760;4101;715561;174.48451597171422
920903820;3114;745595;239.43320488118175
920903880;2959;627871;212.19026698208853
920903940;2544;783575;308.00904088050316
920904000;3161;960826;303.9626700411262
920904060;3379;1146054;339.1695767978692
920904120;2123;302940;142.69430051813472
920904180;3226;751834;233.05455672659642
920904240;3402;974339;286.401822457378
920904300;2758;729068;264.346627991298
920904360;3902;880297;225.60148641722193
920904420;3154;1305965;414.06626506024094
920904480;3146;515282;163.78957406230134
920904540;3623;538365;148.59646701628483
920904600;2707;714520;263.95271518285927
920904660;3236;662759;204.80809641532755
920904720;4329;937786;216.62878262878263
920904780;4166;756610;181.61545847335574
920904840;3440;1386867;403.159011627907
920904900;6017;1450802;241.11716802393218
920904960;4938;1103872;223.54637505062777
920905020;3484;776503;222.87686567164178
920905080;2170;515905;237.7442396313364
920905140;2778;598259;215.35601151907846
920905200;2450;623297;254.4069387755102
920905260;3532;768699;217.63844847112117
920905320;3118;877014;281.2745349583066
920905380;4023;933249;231.97837434750187
920905440;2532;654291;258.40876777251185
920905500;2517;608951;241.9352403655145
920905560;2995;703452;234.8754590984975
920905620;3382;690544;204.18214074512122
920905680;8528;4988540;584.9601313320826
920905740;2295;457024;199.13899782135076
920905800;2580;634945;246.10271317829458
920905860;1974;462857;234.47669706180343
920905920;3981;1366684;343.3016829942226
920905980;4089;1287006;314.7483492296405
920906040;5141;1470662;286.0653569344486
920906100;4383;3014635;687.8017339721652
920906160;3388;892493;263.4276859504132
920906220;4636;1243430;268.2118205349439
920906280;3835;913876;238.2988265971317
920906340;2724;627690;230.4295154185022
920906400;3522;820511;232.9673480976718
920906460;2945;650056;220.7320882852292
920906520;2066;430153;208.20571151984512
920906580;1378;196818;142.82873730043542
920906640;3002;851753;283.72851432378417
920906700;1631;270071;165.58614347026364
920906760;2607;669250;256.7126965861143
920906820;3381;828435;245.02661934338954
920906880;5558;1742675;313.54354084202953
920906940;2686;481764;179.36113179448995
920907000;2304;512307;222.35546875
920907060;2815;862350;306.3410301953819
920907120;1996;388446;194.6122244488978
920907180;2501;514395;205.67572970811676
920907240;2286;432479;189.1859142607174
920907300;2175;455037;209.21241379310345
920907360;1659;360991;217.59553948161542
920907420;1777;349245;196.53629712999438
920907480;5007;1297610;259.1591771519872
920907540;3017;881438;292.15710971163406
920907600;3459;698255;201.86614628505347
920907660;2999;517333;172.5018339446482
920907720;3762;1039571;276.3346624136098
920907780;3220;714125;221.777950310559
920907840;3924;1019472;259.80428134556576
920907900;2335;554177;237.33490364025695
920907960;3025;723641;239.2201652892562
920908020;1983;291995;147.24911749873928
920908080;2222;316365;142.37848784878489
920908140;2734;573691;209.83577176298465
920908200;2279;400217;175.61079420798595
920908260;2916;864032;296.30727023319616
920908320;3581;492458;137.5196872382016
920908380;3426;657683;191.9681844716871
920908440;2293;537126;234.24596598342782
920908500;1925;411250;213.63636363636363
920908560;2574;530349;206.04079254079255
920908620;2646;670877;253.54383975812547
920908680;1331;188076;141.30428249436514
920908740;1604;323389;201.6140897755611
920908800;2791;661180;236.89716947330706
920908860;3064;923258;301.3244125326371
920908920;3539;802377;226.72421588019213
920908980;2483;678251;273.1578735400725
920909040;1914;462432;241.6050156739812
920909100;1529;374944;245.2217135382603
920909160;2937;681555;232.05822267620022
920909220;4557;1433488;314.568356374808
920909280;3691;587318;159.12164725006772
920909340;3011;659728;219.10594486881433
920909400;2591;510339;196.96603627942878
920909460;3104;575942;185.54832474226805
920909520;3531;782331;221.5607476635514
920909580;2284;387205;169.52933450087565
920909640;3307;566048;171.16661626852132
920909700;3982;853355;214.30311401305877
920909760;3563;843278;236.6763962952568
920909820;6228;1192657;191.49919717405265
920909880;6208;1731570;278.9255798969072
920909940;3538;629816;178.01469756924817
920910000;4442;1097734;247.12606933813598
920910060;2653;557674;210.20505088578966
920910120;3504;687850;196.30422374429224
920910180;2991;664729;222.24306252089602
920910240;4390;1062117;241.9400911161731
920910300;2632;473919;180.0604103343465
920910360;3115;624433;200.46003210272872
920910420;2470;443172;179.42186234817814
920910480;4296;989361;230.2981843575419
920910540;3529;729224;206.6375743836781
920910600;4010;1011488;252.24139650872817
920910660;3141;360025;114.62113976440624
920910720;4845;974867;201.2109391124871
920910780;2896;642982;222.02417127071823
920910840;4059;738414;181.920177383592
920910900;3171;599573;189.080100914538
920910960;2984;632186;211.85857908847186
920911020;3596;652868;181.5539488320356
920911080;4234;731829;172.8457723193198
920911140;4087;592965;145.0856373868363
920911200;3367;378932;112.54291654291654
920911260;2494;717045;287.5080192461909
920911320;4419;811700;183.68409142339897
920911380;3064;684077;223.26272845953002
920911440;3280;802189;244.56981707317073
920911500;4759;894851;188.03341038033201
920911560;3703;342451;92.47934107480421
920911620;4312;682395;158.25487012987014
920911680;4174;517237;123.91878294202205
920911740;3044;564264;185.36925098554534
920911800;3359;879620;261.86960404882404
920911860;3194;632421;198.00281778334377
920911920;3771;592898;157.2256695836648
920911980;4140;1006534;243.12415458937198
920912040;3609;776636;215.1942366306456
920912100;3057;562921;184.14164213280995
920912160;2729;247666;90.75338951997068
920912220;2043;234876;114.96622613803231
920912280;3323;709702;213.57267529340956
920912340;3138;605373;192.9168260038241
920912400;3137;683053;217.7408351928594
920912460;2750;631198;229.52654545454544
920912520;3330;731482;219.66426426426426
920912580;3799;641949;168.97841537246643
920912640;2964;648815;218.89844804318489
920912700;2730;495180;181.3846153846154
920912760;3030;414663;136.85247524752475
920912820;3694;778006;210.61342717920954
920912880;3668;629853;171.71564885496184
920912940;4858;793483;163.33532317826266
920913000;3032;634936;209.41160949868075
920913060;2245;488854;217.75233853006682
920913120;3181;664114;208.77522791574975
920913180;3304;873558;264.39406779661016
920913240;4153;1161368;279.645557428365
920913300;2532;831324;328.3270142180095
920913360;3577;834285;233.23595191501258
920913420;3728;648447;173.9396459227468
920913480;5208;1185086;227.55107526881721
920913540;3436;765817;222.88038416763678
920913600;3916;1032858;263.75331971399385
920913660;2927;543545;185.700375811411
920913720;2863;580604;202.79566887879847
920913780;3417;600733;175.80714076675446
920913840;2747;581306;211.6148525664361
920913900;3354;642113;191.4469290399523
920913960;3296;619343;187.907463592233
920914020;2859;567459;198.48163693599162
920914080;3376;677755;200.75681279620852
920914140;3304;499875;151.29388619854723
920914200;4834;1001406;207.15887463798097
920914260;4693;909275;193.75133177072235
920914320;4027;886634;220.17233672709213
920914380;5206;2846562;546.7848636189012
920914440;3557;853113;239.8405960078718
920914500;2569;718529;279.69209809264305
920914560;3747;966305;257.8876434480918
920914620;3099;725868;234.22652468538237
920914680;1922;491043;255.48543184183143
920914740;2215;364321;164.47900677200903
920914800;3760;673024;178.99574468085106
920914860;3566;595225;166.91671340437466
920914920;3333;791090;237.35073507350734
920914980;3167;598666;189.03252289232714
920915040;3804;679887;178.7294952681388
920915100;3619;1136635;314.0743299253938
920915160;3112;716436;230.2172236503856
920915220;2809;483270;172.0434318262727
920915280;4225;396857;93.93065088757396
920915340;2279;545126;239.1952610794208
920915400;2492;522401;209.6312199036918
920915460;2900;457581;157.78655172413792
920915520;5379;1798438;334.34430191485404
920915580;1680;438331;260.9113095238095
920915640;2467;546993;221.72395622213213
920915700;2578;549508;213.15283165244375
920915760;2954;284622;96.35138794854434
920915820;2810;364621;129.75836298932384
920915880;3562;648860;182.16170690623247
920915940;2043;329360;161.2139011257954
920916000;2639;297030;112.55399772641152
920916060;2023;267795;132.37518536826497
920916120;1744;258689;148.3308486238532
920916180;2356;310594;131.83106960950764
920916240;2829;351458;124.23400494874514
920916300;3354;564622;168.34287418008347
920916360;2702;384507;142.30458919319022
920916420;2500;361619;144.6476
920916480;2635;594996;225.80493358633777
920916540;3691;750984;203.46356001083717
920916600;2788;380198;136.36944045911048
920916660;3646;1725423;473.23724629731214
920916720;2070;404735;195.524154589372
920916780;2109;327150;155.12091038406828
920916840;1766;306175;173.37202718006796
920916900;3420;643483;188.15292397660818
920916960;2754;364537;132.36637618010167
920917020;1400;291731;208.37928571428571
920917080;1694;295217;174.27213695395514
920917140;2379;432025;181.5994115174443
920917200;3786;687736;181.6524035921817
920917260;2019;321408;159.19167904903418
920917320;2353;484222;205.78920526986826
920917380;2557;435731;170.40711771607351
920917440;2932;579908;197.78581173260574
920917500;3160;673920;213.26582278481013
920917560;2836;544318;191.93159379407615
920917620;2438;533005;218.62387202625104
920917680;4312;1753157;406.5762987012987
920917740;3411;1099619;322.37437701553796
920917800;3912;878423;224.54575664621677
920917860;1730;260853;150.78208092485548
920917920;3141;404655;128.8299904489016
920917980;3453;324567;93.99565595134665
920918040;2482;229454;92.44721998388397
920918100;4629;634899;137.15683732987685
920918160;5615;2046143;364.406589492431
920918220;3887;1422068;365.85232827373295
920918280;4483;1772549;395.3934865045728
920918340;3892;640407;164.54445015416238
920918400;3655;784577;214.65854993160056
920918460;2116;292172;138.0775047258979
920918520;3773;603214;159.87649085608268
920918580;1900;227733;119.85947368421053
